0	13	12	63	41	3	2	7
0	17	16	3	43	9	4	13
0	25	12	17	2	3	4	17
0	24	6	7	6	7	15	63
0	9	63	17	7	17	4	62
0	25	25	7	9	7	25	2
0	28	18	15	10	63	15	2
0	36	3	6	12	7	2	64
0	45	17	7	16	13	15	6
0	46	13	19	19	16	2	13
0	52	46	25	25	64	25	13
0	54	6	18	34	38	2	16
0	1	13	25	36	63	15	17
0	6	51	18	40	64	25	16
0	7	53	25	42	8	2	3
0	9	46	41	46	12	18	13
0	25	18	43	51	1	42	64
0	46	25	25	2	16	4	61
0	45	17	18	5	38	11	59
0	39	13	2	7	38	12	5
0	38	7	42	16	46	16	9
0	35	25	43	21	16	48	3
0	18	18	45	35	25	49	7
0	5	2	38	36	33	58	63
0	18	18	40	40	36	2	42
0	8	52	43	43	38	8	46
0	46	13	1	46	45	13	53
0	36	43	12	40	25	11	54
0	18	38	38	16	18	16	61
0	4	25	1	48	25	35	17
0	7	25	3	16	1	42	42
0	4	3	55	6	4	45	47
0	17	7	25	7	13	50	19
0	16	18	25	10	11	52	19
0	12	63	2	15	17	55	63
0	8	4	7	41	4	9	16
0	12	9	8	46	25	34	63
0	63	16	12	47	4	16	8
0	63	49	17	51	4	21	10
0	3	49	25	41	4	16	41
0	12	7	35	43	25	6	46
0	18	25	36	45	4	7	12
0	18	25	38	7	15	63	17
0	25	25	41	2	25	62	12
0	2	7	43	7	4	51	1
0	18	7	42	6	25	7	1
0	3	7	43	6	15	12	12
0	18	3	46	6	7	16	1
0	8	9	43	7	6	6	1
